Provinsi,Listrik,Gas/Elpiji,Minyak Tanah,Briket/Arang,Kayu Bakar,Lainnya,Total
Aceh,0.41,95.89,1.86,NA,1.48,0.36,100
Sumatera Utara,0.46,93.69,0.78,-,4.86,0.22,100
Sumatera Barat,0.37,88.27,1.53,-,9.09,0.74,100
Riau,0.15,96.68,0.95,0.44,1.6,0.19,100
Jambi,0.15,94.1,1.27,NA,4.28,0.11,100
Sumatera Selatan,0.33,97.21,0.18,-,2.22,0.06,100
Bengkulu,0.29,96.02,0.08,-,3.39,NA,100
Lampung,0.59,93.94,,NA,5.34,0.08,100
Kepulauan Bangka Belitung,0.12,97.71,0.64,-,1.39,0.13,100
Kepulauan Riau,2.65,88.52,6.17,-,0.39,2.27,100
DKI Jakarta,0.68,97.28,0.46,-,NA,1.58,100
Jawa Barat,0.54,94.06,0.05,NA,4.65,0.7,100
Jawa Tengah,0.31,91.19,0.03,0.02,8.17,0.28,100
DI Yogyakarta,1.67,84.05,,0.11,10.24,3.92,100
Jawa Timur,0.56,89.89,0.13,0.02,9.08,0.31,100
Banten,0.22,93.19,0.09,NA,6.35,NA,100
Bali,0.67,89.85,,-,8.29,1.17,100
Nusa Tenggara Barat,0.38,92.68,1.07,-,5.46,0.41,100
Nusa Tenggara Timur,1.16,1.39,29.76,NA,67.48,0.18,100
Kalimantan Barat,0.02,97.3,,-,2.55,NA,100
Kalimantan Tengah,0.22,95.15,0.74,NA,3.8,NA,100
Kalimantan Selatan,0.14,92.65,0.66,-,6.28,0.26,100
Kalimantan Timur,0.42,98.75,,-,0.61,0.23,100
Kalimantan Utara,1.4,87.79,1.55,-,9.21,NA,100
Sulawesi Utara,0.35,85.59,10,-,3.91,0.15,100
Sulawesi Tengah,0.04,76.83,4.1,0.6,18.22,0.21,100
Sulawesi Selatan,0.28,95.37,,0.05,4.17,0.06,100
Sulawesi Tenggara,,71.12,17.3,0.05,11.42,0.12,100
Gorontalo,0.28,97.03,0.31,-,2.3,0.07,100
Sulawesi Barat,0.51,85.17,,NA,14.01,NA,100
Maluku,0.21,1.55,69.43,NA,28.53,0.27,100
Maluku Utara,0.3,2.21,58.23,NA,39.09,0.15,100
Papua Barat,1.05,2.82,62.78,-,33,NA,100
Papua Barat Daya,NA,4.93,70.3,-,24.02,NA,100
Papua,0.43,4.95,70.14,NA,24.2,0.19,100
Papua Selatan,-,4.16,50.24,NA,45.2,0.23,100
Papua Tengah,NA,4.69,24.57,NA,70.44,0.1,100
Papua Pegunungan,NA,,4.58,NA,95.21,,100
Indonesia,0.47,88.59,2.38,0.03,8.05,0.47,100
